date,day_of_week,month,location,event_type,weather,temperature,expected_visitors,actual_visitors,vehicle_count,average_speed,available_doctors,available_nurses,available_ambulances,police_personnel,volunteers,medical_cases,parking_occupancy,river_water_level,cleanliness_score,crowd_density,congestion_level,emergency_level
2027-09-02,Thursday,September,Mhasrul,Normal Day,Sunny,35,43911,44732,7941,33,10,24,3,149,248,273,10,Low,92,Low,Low,Low
2027-09-03,Friday,September,Mumbai Naka,Normal Day,Cloudy,27,48691,47151,8313,34,10,26,3,157,261,229,10,Low,99,Low,Low,Low
2027-09-04,Saturday,September,Tapovan,Normal Day,Sunny,32,47438,43272,6225,35,10,31,3,144,240,194,10,Normal,94,Low,Low,Low
2027-09-05,Sunday,September,Mhasrul,Weekend,Sunny,32,94029,94427,15398,42,13,27,3,314,524,612,12,Normal,91,Low,Low,Medium
2027-09-06,Monday,September,Panchavati,Normal Day,Cloudy,29,59629,62363,10379,41,10,30,3,207,346,300,10,Normal,94,Low,Low,Low
2027-09-07,Tuesday,September,Dwarka Circle,Normal Day,Sunny,31,40914,43062,8065,33,10,28,3,143,239,197,10,Low,94,Low,Low,Low
2027-09-08,Wednesday,September,College Road,Normal Day,Sunny,36,34203,36427,6152,37,10,23,3,121,202,226,10,Normal,93,Low,Low,Low
2027-09-09,Thursday,September,Mhasrul,Normal Day,Cloudy,30,22768,23935,3708,29,10,28,3,80,132,63,10,Low,100,Low,Low,Low
2027-09-10,Friday,September,Gangapur Road,Festival,Sunny,35,141140,146289,21592,42,20,40,5,487,812,762,17,Low,87,Medium,Low,Medium
2027-09-11,Saturday,September,Panchavati,Normal Day,Cloudy,26,33657,37472,7151,42,10,22,3,124,208,145,10,Normal,98,Low,Low,Low
2027-09-12,Sunday,September,Trimbakeshwar Temple,Weekend,Sunny,34,243324,268624,50580,15,38,86,10,895,1492,1448,42,Low,73,Medium,Medium,High
2027-09-13,Monday,September,Shalimar,Normal Day,Sunny,34,69105,70617,11683,31,10,24,3,235,392,288,10,Low,97,Low,Low,Low
2027-09-14,Tuesday,September,Ramkund,Normal Day,Sunny,33,49369,50186,9272,30,10,23,3,167,278,204,10,Normal,95,Low,Low,Low
2027-09-15,Wednesday,September,Shalimar,Shahi Snan,Sunny,33,452369,470864,69361,14,67,149,18,1569,2615,1992,57,High,59,High,Medium,Critical
2027-09-16,Thursday,September,Godavari Ghat,Normal Day,Sunny,33,97023,91941,12596,44,13,40,3,306,510,311,10,Low,95,Low,Low,Medium
2027-09-17,Friday,September,CBS Nashik,Normal Day,Sunny,32,40736,37034,4665,42,10,27,3,123,205,219,10,Normal,100,Low,Low,Low
2027-09-18,Saturday,September,CBS Nashik,Normal Day,Rainy,22,16996,18466,2928,44,10,28,3,80,120,179,10,High,98,Low,Low,Low
2027-09-19,Sunday,September,Nimani,Weekend,Sunny,34,123549,131405,25414,24,18,50,5,438,730,356,21,Low,92,Medium,Low,Medium
2027-09-20,Monday,September,Adgaon Naka,Festival,Sunny,32,123950,134226,20039,28,19,39,5,447,745,657,16,Normal,84,Medium,Low,Medium
2027-09-21,Tuesday,September,Ramkund,Normal Day,Rainy,24,78851,82968,12593,35,11,24,3,276,460,499,10,Normal,90,Low,Low,Medium
2027-09-22,Wednesday,September,Mhasrul,Normal Day,Cloudy,31,38961,36847,5708,33,10,34,3,122,204,213,10,Low,98,Low,Low,Low
2027-09-23,Thursday,September,Sadhugram,Normal Day,Sunny,38,30412,33591,6698,31,10,26,3,111,186,125,10,Low,94,Low,Low,Low
2027-09-24,Friday,September,Shalimar,Normal Day,Sunny,37,29073,28948,3700,35,10,33,3,96,160,179,10,Low,97,Low,Low,Low
2027-09-25,Saturday,September,Mumbai Naka,Shahi Snan,Sunny,33,717719,701258,129313,9,100,211,28,2337,3895,3235,100,High,42,High,High,Critical
2027-09-26,Sunday,September,College Road,Weekend,Rainy,27,53109,48504,9599,35,10,20,3,161,269,362,10,Normal,96,Low,Low,Medium
2027-09-27,Monday,September,Panchavati,Normal Day,Sunny,31,46570,43636,6531,36,10,23,3,145,242,170,10,Normal,97,Low,Low,Low
2027-09-28,Tuesday,September,CBS Nashik,Normal Day,Sunny,37,48114,48807,8157,40,10,31,3,162,271,263,10,Low,95,Low,Low,Low
2027-09-29,Wednesday,September,Gangapur Road,Normal Day,Sunny,33,40052,43878,8244,41,10,30,3,146,243,259,10,Normal,100,Low,Low,Low
2027-09-30,Thursday,September,Trimbakeshwar Temple,Festival,Cloudy,28,295007,274220,54360,18,39,81,10,914,1523,1338,45,Normal,80,Medium,Medium,High
2027-10-01,Friday,October,Godavari Ghat,Normal Day,Cloudy,26,50823,46935,6910,28,10,29,3,156,260,145,10,Low,100,Low,Low,Low
2027-10-02,Saturday,October,Trimbakeshwar Temple,Normal Day,Sunny,37,110863,110822,13541,37,15,34,4,369,615,504,11,Low,94,Medium,Low,Medium
2027-10-03,Sunday,October,Nimani,Weekend,Cloudy,25,103501,111797,17879,28,15,44,4,372,621,454,14,Normal,88,Medium,Low,Medium
2027-10-04,Monday,October,Ramkund,Normal Day,Sunny,31,93990,104064,15810,36,14,33,4,346,578,538,13,Normal,95,Medium,Low,Medium
2027-10-05,Tuesday,October,Tapovan,Shahi Snan,Sunny,36,472476,495367,95169,18,70,148,19,1651,2752,2187,79,High,55,High,High,Critical
2027-10-06,Wednesday,October,Trimbakeshwar Temple,Normal Day,Sunny,37,84726,81879,16233,29,11,30,3,272,454,298,13,Low,95,Low,Low,Medium
2027-10-07,Thursday,October,Dwarka Circle,Normal Day,Sunny,34,68543,65827,11418,38,10,29,3,219,365,250,10,Low,93,Low,Low,Low
2027-10-08,Friday,October,Mhasrul,Normal Day,Sunny,33,19891,19704,3581,41,10,24,3,80,120,52,10,Normal,96,Low,Low,Low
2027-10-09,Saturday,October,College Road,Normal Day,Rainy,22,34124,33116,6186,36,10,30,3,110,183,323,10,Normal,99,Low,Low,Medium
2027-10-10,Sunday,October,Mumbai Naka,Weekend,Rainy,27,74259,78043,11455,31,11,29,3,260,433,450,10,Normal,97,Low,Low,Medium
2027-10-11,Monday,October,Adgaon Naka,Normal Day,Cloudy,25,52719,54517,7970,28,10,21,3,181,302,235,10,Normal,94,Low,Low,Low
2027-10-12,Tuesday,October,Nimani,Normal Day,Sunny,36,42092,38113,4823,39,10,20,3,127,211,219,10,Low,99,Low,Low,Low
2027-10-13,Wednesday,October,Shalimar,Normal Day,Sunny,38,65992,70294,8711,43,10,25,3,234,390,267,10,Normal,97,Low,Low,Low
2027-10-14,Thursday,October,Sadhugram,Normal Day,Sunny,31,32849,30932,5418,39,10,30,3,103,171,146,10,Low,100,Low,Low,Low
2027-10-15,Friday,October,Gangapur Road,Shahi Snan,Sunny,32,434738,420653,59706,12,60,129,16,1402,2336,1069,49,High,68,High,Medium,High
2027-10-16,Saturday,October,Nimani,Normal Day,Sunny,36,31670,32865,5277,42,10,23,3,109,182,162,10,Low,99,Low,Low,Low
2027-10-17,Sunday,October,Nimani,Weekend,Cloudy,26,107732,101793,17838,43,14,32,4,339,565,452,14,Normal,93,Medium,Low,Medium
2027-10-18,Monday,October,CBS Nashik,Normal Day,Sunny,33,56414,55836,7784,38,10,23,3,186,310,295,10,Low,99,Low,Low,Low
2027-10-19,Tuesday,October,Tapovan,Normal Day,Sunny,36,67075,68634,9254,29,10,23,3,228,381,191,10,Low,92,Low,Low,Low
2027-10-20,Wednesday,October,Dwarka Circle,Festival,Sunny,34,169040,161039,20991,44,23,54,6,536,894,479,17,Low,85,Medium,Low,Medium
2027-10-21,Thursday,October,CBS Nashik,Normal Day,Sunny,34,38486,38362,5074,43,10,35,3,127,213,114,10,Low,95,Low,Low,Low
2027-10-22,Friday,October,Ramkund,Normal Day,Sunny,37,28142,26023,5080,39,10,35,3,86,144,89,10,Low,99,Low,Low,Low
2027-10-23,Saturday,October,Godavari Ghat,Normal Day,Cloudy,32,60873,60344,7804,31,10,26,3,201,335,174,10,Normal,93,Low,Low,Low
2027-10-24,Sunday,October,CBS Nashik,Weekend,Sunny,36,105975,118118,14538,38,16,42,4,393,656,653,12,Low,88,Medium,Low,Medium
2027-10-25,Monday,October,Godavari Ghat,Shahi Snan,Cloudy,25,704365,644449,100041,5,92,187,25,2148,3580,3309,83,High,44,High,High,Critical
2027-10-26,Tuesday,October,Nimani,Normal Day,Sunny,32,49275,48552,8890,31,10,34,3,161,269,165,10,Low,96,Low,Low,Low
2027-10-27,Wednesday,October,Mhasrul,Normal Day,Rainy,23,26301,25762,3146,45,10,21,3,85,143,222,10,Normal,96,Low,Low,Low
2027-10-28,Thursday,October,CBS Nashik,Normal Day,Cloudy,26,45746,43063,6236,34,10,35,3,143,239,217,10,Low,92,Low,Low,Low
2027-07-01,Thursday,July,Godavari Ghat,Normal Day,Sunny,38,55176,53385,7587,34,10,35,3,177,296,221,10,Low,92,Low,Low,Low
2027-07-02,Friday,July,Panchavati,Normal Day,Sunny,38,75885,84084,15330,35,12,29,3,280,467,328,12,Low,90,Low,Low,Medium
2027-07-03,Saturday,July,Ramkund,Normal Day,Sunny,38,107969,108135,18567,36,15,42,4,360,600,401,15,Normal,90,Medium,Low,Medium
2027-07-04,Sunday,July,Nimani,Weekend,Sunny,36,117368,126211,21492,42,18,40,5,420,701,421,17,Low,93,Medium,Low,Medium
2027-07-05,Monday,July,Shalimar,Shahi Snan,Sunny,38,551582,602376,101039,10,86,181,24,2007,3346,2480,84,High,46,High,High,Critical
2027-07-06,Tuesday,July,Ramkund,Normal Day,Sunny,38,87051,95765,11846,42,13,29,3,319,532,606,10,Low,88,Low,Low,Medium
2027-07-07,Wednesday,July,Mumbai Naka,Normal Day,Cloudy,27,25701,24515,3992,43,10,34,3,81,136,79,10,Normal,95,Low,Low,Low
2027-07-08,Thursday,July,Ramkund,Normal Day,Cloudy,25,103177,94481,17261,36,13,35,3,314,524,533,14,Low,90,Low,Low,Medium
2027-07-09,Friday,July,Shalimar,Normal Day,Sunny,38,55761,59660,7213,36,10,23,3,198,331,202,10,Low,99,Low,Low,Low
2027-07-10,Saturday,July,Panchavati,Festival,Cloudy,31,194734,196201,26555,18,28,65,7,654,1090,1007,22,Normal,84,Medium,Medium,High
2027-07-11,Sunday,July,Tapovan,Weekend,Cloudy,25,109851,115882,14477,35,16,39,4,386,643,334,12,Normal,87,Medium,Low,Medium
2027-07-12,Monday,July,Panchavati,Normal Day,Sunny,37,39745,37444,5746,44,10,26,3,124,208,184,10,Low,100,Low,Low,Low
2027-07-13,Tuesday,July,College Road,Normal Day,Sunny,30,38922,35327,6655,28,10,25,3,117,196,199,10,Normal,95,Low,Low,Low
2027-07-14,Wednesday,July,Adgaon Naka,Normal Day,Sunny,35,39479,40682,5985,37,10,35,3,135,226,250,10,Low,97,Low,Low,Low
2027-07-15,Thursday,July,Ramkund,Shahi Snan,Cloudy,31,516516,483146,83072,15,69,143,19,1610,2684,3051,69,High,63,High,Medium,Critical
2027-07-16,Friday,July,CBS Nashik,Normal Day,Sunny,35,75555,82703,16349,34,11,22,3,275,459,494,13,Low,95,Low,Low,Medium
2027-07-17,Saturday,July,Sadhugram,Normal Day,Sunny,30,69589,77397,13256,31,11,25,3,257,429,402,11,Normal,94,Low,Low,Medium
2027-07-18,Sunday,July,Dwarka Circle,Weekend,Sunny,32,88962,80541,9818,38,11,31,3,268,447,457,10,Normal,89,Low,Low,Medium
2027-07-19,Monday,July,Nimani,Normal Day,Sunny,30,62216,56264,7260,36,10,29,3,187,312,229,10,Low,91,Low,Low,Low
2027-07-20,Tuesday,July,Sadhugram,Festival,Sunny,38,206348,186086,33722,27,26,59,7,620,1033,1007,28,Normal,86,Medium,Low,High
2027-07-21,Wednesday,July,Mumbai Naka,Normal Day,Sunny,38,38782,36089,6340,37,10,24,3,120,200,222,10,Low,92,Low,Low,Low
2027-07-22,Thursday,July,Panchavati,Normal Day,Sunny,36,34243,31423,4632,40,10,27,3,104,174,199,10,Low,99,Low,Low,Low
2027-07-23,Friday,July,Adgaon Naka,Normal Day,Cloudy,26,58737,58556,8684,43,10,33,3,195,325,317,10,Low,98,Low,Low,Medium
2027-07-24,Saturday,July,Trimbakeshwar Temple,Normal Day,Cloudy,29,122949,115211,17852,31,16,37,4,384,640,465,14,Normal,87,Medium,Low,Medium
2027-07-25,Sunday,July,Panchavati,Weekend,Sunny,38,87446,92316,16377,32,13,39,3,307,512,457,13,Normal,95,Low,Low,Medium
2027-07-26,Monday,July,CBS Nashik,Normal Day,Rainy,27,21837,21825,3272,32,10,23,3,80,121,194,10,Normal,94,Low,Low,Low
2027-07-27,Tuesday,July,Dwarka Circle,Normal Day,Cloudy,25,39871,39341,6064,35,10,33,3,131,218,157,10,Low,97,Low,Low,Low
2027-07-28,Wednesday,July,Nimani,Normal Day,Sunny,32,63309,61052,8064,30,10,21,3,203,339,224,10,Normal,92,Low,Low,Low
2027-07-29,Thursday,July,CBS Nashik,Normal Day,Cloudy,29,35973,37724,6673,34,10,27,3,125,209,211,10,Normal,99,Low,Low,Low
2027-07-30,Friday,July,Mumbai Naka,Festival,Cloudy,32,192050,204696,28643,20,29,65,8,682,1137,689,23,Normal,83,Medium,Medium,Medium
2027-07-31,Saturday,July,Trimbakeshwar Temple,Normal Day,Cloudy,28,100864,92877,14808,38,13,32,3,309,515,420,12,Normal,91,Low,Low,Medium
2027-08-01,Sunday,August,Tapovan,Weekend,Cloudy,29,131057,137954,24392,36,19,45,5,459,766,653,20,Low,86,Medium,Low,Medium
2027-08-02,Monday,August,Trimbakeshwar Temple,Normal Day,Sunny,34,90282,91760,14139,36,13,39,3,305,509,387,11,Low,93,Low,Low,Medium
2027-08-03,Tuesday,August,Gangapur Road,Normal Day,Cloudy,28,32373,32653,4065,30,10,24,3,108,181,185,10,Low,97,Low,Low,Low
2027-08-04,Wednesday,August,Mumbai Naka,Normal Day,Cloudy,31,33860,31006,4301,30,10,27,3,103,172,97,10,Low,98,Low,Low,Low
2027-08-05,Thursday,August,Adgaon Naka,Shahi Snan,Sunny,37,445642,447399,55092,12,63,140,17,1491,2485,1340,45,High,62,High,Medium,High
2027-08-06,Friday,August,Tapovan,Normal Day,Sunny,33,73503,80110,9891,36,11,35,3,267,445,380,10,Normal,97,Low,Low,Medium
2027-08-07,Saturday,August,CBS Nashik,Normal Day,Cloudy,30,50681,49885,6537,30,10,32,3,166,277,211,10,Low,95,Low,Low,Low
2027-08-08,Sunday,August,Ramkund,Weekend,Sunny,34,216622,203578,28948,25,29,70,8,678,1130,1065,24,Normal,86,Medium,Low,High
2027-08-09,Monday,August,Mhasrul,Normal Day,Rainy,28,20462,18600,2458,33,10,29,3,80,120,144,10,High,96,Low,Low,Low
2027-08-10,Tuesday,August,Godavari Ghat,Festival,Sunny,33,340808,374013,48444,25,53,109,14,1246,2077,1780,40,Low,69,High,Medium,High
2027-08-11,Wednesday,August,Ramkund,Normal Day,Sunny,34,56865,63664,11470,43,10,26,3,212,353,306,10,Normal,93,Low,Low,Medium
2027-08-12,Thursday,August,Mhasrul,Normal Day,Sunny,33,27108,26357,4253,42,10,30,3,87,146,129,10,Normal,100,Low,Low,Low
2027-08-13,Friday,August,Sadhugram,Normal Day,Sunny,38,34024,37353,6030,30,10,25,3,124,207,99,10,Low,92,Low,Low,Low
2027-08-14,Saturday,August,Sadhugram,Normal Day,Cloudy,30,57929,56356,7341,36,10,34,3,187,313,213,10,Low,98,Low,Low,Low
2027-08-15,Sunday,August,Mumbai Naka,Weekend,Cloudy,29,83734,80240,12714,39,11,25,3,267,445,350,10,Low,96,Low,Low,Medium
2027-08-16,Monday,August,CBS Nashik,Normal Day,Sunny,36,65159,72220,13062,42,10,27,3,240,401,333,10,Normal,90,Low,Low,Medium
2027-08-17,Tuesday,August,Panchavati,Normal Day,Sunny,38,18939,20079,2980,28,10,32,3,80,120,115,10,Low,100,Low,Low,Low
2027-08-18,Wednesday,August,College Road,Normal Day,Sunny,36,22766,23880,3765,34,10,28,3,80,132,98,10,Low,96,Low,Low,Low
2027-08-19,Thursday,August,CBS Nashik,Normal Day,Sunny,38,41009,39601,6627,30,10,22,3,132,220,234,10,Low,96,Low,Low,Low
2027-08-20,Friday,August,College Road,Festival,Cloudy,29,92906,100075,15211,31,14,28,4,333,555,646,12,Low,87,Medium,Low,Medium
2027-08-21,Saturday,August,Shalimar,Normal Day,Sunny,37,21086,23328,3865,38,10,20,3,80,129,114,10,Normal,99,Low,Low,Low
2027-08-22,Sunday,August,College Road,Weekend,Cloudy,29,70860,67874,11979,34,10,33,3,226,377,324,10,Normal,97,Low,Low,Medium
2027-08-23,Monday,August,Trimbakeshwar Temple,Normal Day,Cloudy,28,100229,106603,14999,34,15,30,4,355,592,562,12,Normal,95,Medium,Low,Medium
2027-08-24,Tuesday,August,CBS Nashik,Normal Day,Rainy,25,76836,73667,9044,37,10,20,3,245,409,458,10,Normal,94,Low,Low,Medium
2027-08-25,Wednesday,August,Sadhugram,Shahi Snan,Rainy,23,626040,654405,118617,10,93,188,26,2181,3635,3984,98,High,49,High,High,Critical
2027-08-26,Thursday,August,Sadhugram,Normal Day,Cloudy,32,82155,80919,9728,29,11,36,3,269,449,473,10,Low,90,Low,Low,Medium
2027-08-27,Friday,August,CBS Nashik,Normal Day,Sunny,37,23278,22959,3461,36,10,23,3,80,127,94,10,Low,100,Low,Low,Low
2027-08-28,Saturday,August,Trimbakeshwar Temple,Normal Day,Rainy,25,91765,98648,15479,31,14,41,3,328,548,298,12,High,89,Low,Low,Medium
2027-08-29,Sunday,August,Godavari Ghat,Weekend,Cloudy,28,142801,131600,17224,45,18,41,5,438,731,694,14,Low,93,Medium,Low,Medium
2027-08-30,Monday,August,Godavari Ghat,Festival,Cloudy,26,312183,294841,47210,28,42,92,11,982,1638,1649,39,Low,72,Medium,Medium,High
2027-08-31,Tuesday,August,Sadhugram,Normal Day,Cloudy,29,36533,40326,7434,34,10,29,3,134,224,110,10,Low,92,Low,Low,Low
2027-09-01,Wednesday,September,Nimani,Normal Day,Sunny,33,26500,28959,4807,34,10,29,3,96,160,162,10,Normal,98,Low,Low,Low
2027-09-02,Thursday,September,Dwarka Circle,Normal Day,Rainy,29,15977,16747,2450,39,10,32,3,80,120,194,10,Normal,99,Low,Low,Low
2027-09-03,Friday,September,Sadhugram,Normal Day,Sunny,31,89667,99027,12745,28,14,36,3,330,550,490,10,Low,88,Low,Low,Medium
2027-09-04,Saturday,September,Gangapur Road,Normal Day,Rainy,23,15498,17126,2168,44,10,24,3,80,120,133,10,High,98,Low,Low,Low
2027-09-05,Sunday,September,Godavari Ghat,Weekend,Cloudy,27,115685,109864,19718,41,15,45,4,366,610,503,16,Low,88,Medium,Low,Medium
2027-09-06,Monday,September,Tapovan,Normal Day,Sunny,35,63975,64568,9712,42,10,26,3,215,358,323,10,Normal,98,Low,Low,Medium
2027-09-07,Tuesday,September,Tapovan,Normal Day,Sunny,30,61277,55845,10425,38,10,29,3,186,310,300,10,Normal,98,Low,Low,Low
2027-09-08,Wednesday,September,Mhasrul,Normal Day,Sunny,37,32155,35408,4552,37,10,34,3,118,196,121,10,Normal,99,Low,Low,Low
2027-09-09,Thursday,September,Dwarka Circle,Normal Day,Cloudy,25,25299,24464,4408,42,10,23,3,81,135,158,10,Normal,96,Low,Low,Low
2027-09-10,Friday,September,Gangapur Road,Festival,Sunny,36,110354,118963,22091,38,16,44,4,396,660,325,18,Normal,94,Medium,Low,Medium
2027-09-11,Saturday,September,Dwarka Circle,Normal Day,Rainy,24,68521,76210,14268,33,10,32,3,254,423,508,11,High,92,Low,Low,Medium
2027-09-12,Sunday,September,Sadhugram,Weekend,Cloudy,32,159402,167093,26762,21,23,59,6,556,928,569,22,Low,88,Medium,Low,Medium
2027-09-13,Monday,September,Adgaon Naka,Normal Day,Cloudy,28,48866,48311,8193,40,10,26,3,161,268,142,10,Normal,91,Low,Low,Low
2027-09-14,Tuesday,September,Nimani,Normal Day,Sunny,31,25465,23839,4250,32,10,34,3,80,132,105,10,Normal,95,Low,Low,Low
2027-09-15,Wednesday,September,Gangapur Road,Shahi Snan,Cloudy,30,559790,555211,104157,5,79,163,22,1850,3084,2964,86,High,50,High,High,Critical
2027-09-16,Thursday,September,Shalimar,Normal Day,Sunny,34,37525,40394,4885,43,10,31,3,134,224,220,10,Normal,97,Low,Low,Low
2027-09-17,Friday,September,Mhasrul,Normal Day,Sunny,33,19085,20897,3137,43,10,25,3,80,120,81,10,Normal,94,Low,Low,Low
2027-09-18,Saturday,September,Ramkund,Normal Day,Sunny,30,38603,37828,7121,32,10,23,3,126,210,204,10,Normal,95,Low,Low,Low
2027-09-19,Sunday,September,Ramkund,Weekend,Sunny,33,218832,243479,37269,28,34,77,9,811,1352,653,31,Normal,82,Medium,Medium,Medium
2027-09-20,Monday,September,Sadhugram,Festival,Sunny,37,209220,225204,40972,19,32,74,9,750,1251,1124,34,Normal,77,Medium,Medium,High
2027-09-21,Tuesday,September,Mhasrul,Normal Day,Sunny,37,27062,26289,3366,34,10,30,3,87,146,129,10,Low,97,Low,Low,Low
2027-09-22,Wednesday,September,Tapovan,Normal Day,Cloudy,31,33761,36791,4927,40,10,32,3,122,204,178,10,Low,92,Low,Low,Low
2027-09-23,Thursday,September,Mhasrul,Normal Day,Cloudy,30,23315,21321,2969,35,10,24,3,80,120,115,10,Low,94,Low,Low,Low
2027-09-24,Friday,September,Sadhugram,Normal Day,Sunny,34,49137,49176,9260,38,10,20,3,163,273,260,10,Normal,98,Low,Low,Low
2027-09-25,Saturday,September,Ramkund,Shahi Snan,Cloudy,31,1132425,1190885,171849,5,170,350,47,3969,6616,6664,100,High,40,High,High,Critical
2027-09-26,Sunday,September,Gangapur Road,Weekend,Cloudy,31,102788,110244,18646,36,15,35,4,367,612,674,15,Low,94,Medium,Low,Medium
2027-09-27,Monday,September,Adgaon Naka,Normal Day,Rainy,26,24167,21787,3709,29,10,34,3,80,121,214,10,High,100,Low,Low,Low
2027-09-28,Tuesday,September,Panchavati,Normal Day,Sunny,34,47718,50060,6632,32,10,32,3,166,278,243,10,Normal,99,Low,Low,Low
2027-09-29,Wednesday,September,Panchavati,Normal Day,Cloudy,29,57854,56945,7577,45,10,26,3,189,316,327,10,Normal,92,Low,Low,Medium
2027-09-30,Thursday,September,Sadhugram,Festival,Cloudy,27,280538,306151,53837,11,43,92,12,1020,1700,1285,44,Low,72,High,Medium,High
2027-10-01,Friday,October,Godavari Ghat,Normal Day,Cloudy,31,38894,40156,4897,29,10,20,3,133,223,190,10,Low,97,Low,Low,Low
2027-10-02,Saturday,October,CBS Nashik,Normal Day,Sunny,31,18071,18687,3726,35,10,20,3,80,120,97,10,Low,99,Low,Low,Low
2027-10-03,Sunday,October,Panchavati,Weekend,Sunny,31,83843,75786,11386,40,10,20,3,252,421,475,10,Normal,92,Low,Low,Medium
2027-10-04,Monday,October,Mumbai Naka,Normal Day,Sunny,34,67614,75713,13552,43,10,29,3,252,420,285,11,Low,90,Low,Low,Low
2027-10-05,Tuesday,October,Panchavati,Shahi Snan,Cloudy,27,429677,477947,58689,17,68,137,19,1593,2655,1324,48,High,62,High,Medium,High
2027-10-06,Wednesday,October,Shalimar,Normal Day,Rainy,25,42078,37896,5482,41,10,34,3,126,210,316,10,Normal,98,Low,Low,Medium
2027-10-07,Thursday,October,Panchavati,Normal Day,Sunny,35,26502,24364,3216,37,10,24,3,81,135,102,10,Low,99,Low,Low,Low
2027-10-08,Friday,October,Adgaon Naka,Normal Day,Cloudy,30,26413,28264,4454,29,10,32,3,94,157,163,10,Normal,100,Low,Low,Low
2027-10-09,Saturday,October,CBS Nashik,Normal Day,Sunny,36,68972,73273,10270,34,10,31,3,244,407,361,10,Low,92,Low,Low,Medium
2027-10-10,Sunday,October,Panchavati,Weekend,Sunny,37,159210,153430,26261,22,21,47,6,511,852,504,21,Low,84,Medium,Low,Medium
2027-10-11,Monday,October,Mhasrul,Normal Day,Cloudy,28,32811,35271,6798,43,10,23,3,117,195,101,10,Normal,97,Low,Low,Low
2027-10-12,Tuesday,October,Panchavati,Normal Day,Sunny,32,22035,24569,4412,30,10,30,3,81,136,104,10,Normal,98,Low,Low,Low
2027-10-13,Wednesday,October,CBS Nashik,Normal Day,Cloudy,30,73442,75628,12423,41,10,27,3,252,420,219,10,Normal,90,Low,Low,Low
2027-10-14,Thursday,October,Ramkund,Normal Day,Sunny,31,81000,84699,13217,32,12,27,3,282,470,252,11,Low,92,Low,Low,Medium
2027-10-15,Friday,October,CBS Nashik,Shahi Snan,Rainy,27,821659,880338,106750,9,125,258,35,2934,4890,3350,88,High,40,High,High,Critical
2027-10-16,Saturday,October,Mhasrul,Normal Day,Sunny,31,17060,18442,2632,35,10,25,3,80,120,93,10,Normal,98,Low,Low,Low
2027-10-17,Sunday,October,College Road,Weekend,Sunny,31,101934,94139,17093,28,13,35,3,313,522,504,14,Normal,88,Low,Low,Medium
2027-10-18,Monday,October,Panchavati,Normal Day,Sunny,36,23489,21511,3853,28,10,31,3,80,120,100,10,Normal,97,Low,Low,Low
2027-10-19,Tuesday,October,Godavari Ghat,Normal Day,Rainy,26,32730,29459,5827,40,10,24,3,98,163,268,10,Normal,97,Low,Low,Low
2027-10-20,Wednesday,October,Godavari Ghat,Festival,Sunny,36,206174,213651,25965,22,30,62,8,712,1186,1179,21,Low,78,Medium,Low,High
2027-10-21,Thursday,October,Dwarka Circle,Normal Day,Sunny,33,36571,38688,5259,29,10,22,3,128,214,142,10,Low,93,Low,Low,Low
2027-10-22,Friday,October,Tapovan,Normal Day,Sunny,35,36656,35794,5662,42,10,21,3,119,198,149,10,Normal,97,Low,Low,Low
2027-10-23,Saturday,October,Trimbakeshwar Temple,Normal Day,Sunny,30,51845,49326,8891,37,10,32,3,164,274,127,10,Normal,97,Low,Low,Low
2027-10-24,Sunday,October,Godavari Ghat,Weekend,Cloudy,31,168572,164714,21816,41,23,51,6,549,915,958,18,Normal,88,Medium,Low,High
2027-10-25,Monday,October,Shalimar,Shahi Snan,Cloudy,27,745288,809940,106898,9,115,242,32,2699,4499,2527,89,High,40,High,High,Critical
2027-10-26,Tuesday,October,Ramkund,Normal Day,Cloudy,30,39235,37371,5093,38,10,33,3,124,207,98,10,Normal,100,Low,Low,Low
2027-10-27,Wednesday,October,Gangapur Road,Normal Day,Cloudy,26,43905,43159,6061,45,10,25,3,143,239,262,10,Normal,94,Low,Low,Low
2027-10-28,Thursday,October,Adgaon Naka,Normal Day,Rainy,22,36121,38954,6374,37,10,32,3,129,216,187,10,High,98,Low,Low,Low
2027-07-01,Thursday,July,Panchavati,Normal Day,Cloudy,31,72768,71653,13098,37,10,23,3,238,398,209,10,Low,92,Low,Low,Low
2027-07-02,Friday,July,Dwarka Circle,Normal Day,Sunny,38,35181,32933,6275,45,10,35,3,109,182,109,10,Low,95,Low,Low,Low
2027-07-03,Saturday,July,Mumbai Naka,Normal Day,Rainy,27,58276,59445,11174,28,10,30,3,198,330,319,10,High,91,Low,Low,Medium
2027-07-04,Sunday,July,Nimani,Weekend,Rainy,27,90664,93078,14398,45,13,37,3,310,517,704,11,High,92,Low,Low,Medium
2027-07-05,Monday,July,Shalimar,Shahi Snan,Sunny,37,759049,846041,104205,7,120,246,33,2820,4700,4140,86,High,40,High,High,Critical
2027-07-06,Tuesday,July,Tapovan,Normal Day,Cloudy,29,29650,32973,6091,44,10,26,3,109,183,199,10,Low,97,Low,Low,Low
2027-07-07,Wednesday,July,Godavari Ghat,Normal Day,Cloudy,28,83931,84662,11169,45,12,26,3,282,470,507,10,Low,92,Low,Low,Medium
2027-07-08,Thursday,July,Ramkund,Normal Day,Sunny,33,61416,61025,8055,38,10,33,3,203,339,278,10,Normal,95,Low,Low,Low
